NO,中分類,中分類の説明,大分類,大分類の説明
1,インターネットアプリケーション運営,この業界では、インターネット上で様々なサービスを提供するWebアプリケーションを企画、開発、運営します。具体的には、ECサイト、SNS、情報ポータルサイト、予約システムなど、クラウドベースのソフトウェアやモバイルアプリケーション、SaaS（Software as a Service）など、多岐にわたるサービスを扱っています。,ITサービス,インターネット上で動作するアプリケーションサービスの提供
2,ソフトウェア開発,企業や組織の業務効率化や問題解決を目的としたシステムを開発する業界。顧客の要望に応じたオーダーメイドシステムや、特定の業務に特化したパッケージシステム、カスタムソフトウェア、エンタープライズシステム、モバイルアプリケーションなどを提供。,ITサービス,コンピュータシステムの設計、開発、保守を行うサービス
3,デジタルコンテンツ制作,デジタル形式で提供される様々なコンテンツを制作・配信する業界。音楽、動画、電子書籍、ゲーム、Webサイト、ポッドキャスト、オンラインゲームなど、多岐にわたるコンテンツを制作、配信。,デジタルコンテンツ,デジタルメディアを活用したコンテンツの制作と配信
4,ITインフラ運用,ITシステムの基盤となるハードウェアやソフトウェア、ネットワークなどを提供・運用する業界。サーバー、ストレージ、データベース、クラウドサービスの構築、管理、運営を含む。,ITサービス,IT基盤の設計、構築、運用
5,ソフトウェア流通,他の企業が開発したソフトウェアを仕入れ、販売や導入支援を行う業界。特定の業界や業務に特化したソフトウェア、ERP（Enterprise Resource Planning）システム、CRM（Customer Relationship Management）システム、オフィススイートなどを取り扱う。,ITサービス,ソフトウェアの卸売および流通
6,クラウドサービス・フィンテック,クラウドコンピューティング技術を活用したサービスや、金融(Finance)と技術(Technology)を融合させた革新的なサービスを提供する業界。クラウドストレージ、仮想サーバー、オンラインバンキング、決済プラットフォームなどが含まれる。,ITサービス,クラウドサービスおよび金融技術を提供する企業
7,情報セキュリティサービス,企業や組織の情報をサイバー攻撃などの脅威から守るための製品やサービスを提供する業界。セキュリティソフト、ファイアウォール、セキュリティコンサルティング、暗号化ソフトウェア、セキュリティ監査などを提供。,ITサービス,情報の保護とセキュリティの管理
8,電子商取引,インターネット上で商品やサービスを販売する業界。自社サイトでの販売や、Amazon、楽天市場などのECモールへの出店、ウェブサイトやモバイルアプリを通じて、様々なカテゴリーの商品を販売し、配送サービスを提供。,ITサービス,インターネット上での商品の販売と購入
9,総合電子商取引,多様な商品カテゴリを取り扱う大規模なオンラインストアを運営する業界。家電、ファッション、食品、日用品など、幅広い商品を取り扱う総合的なオンラインショッピングプラットフォームを運営。,ITサービス,多様な商品やサービスを提供するオンラインプラットフォーム
10,ゲームソフト開発,コンピュータゲームやモバイルゲームを開発する業界。家庭用ゲーム機向け、スマートフォン向け、PC向けなど、様々なプラットフォームに対応したゲームを企画、開発、販売。ゲームエンジンやグラフィックス開発も行う。,デジタルコンテンツ,コンピュータゲームの企画、制作、販売
