収集日時,会社名,TEL,事業所区分,業種名,事業所数,店舗数,工場数,業態,事業概要,事業戦略,競合他社/競合店,主要製品名,法人番号,郵便番号,所在地,コーポレートサイトURL,上場区分,資本金,設立年月日,代表者肩書名,代表者名,売上高,経常利益,営業利益,役員,FAX番号,お問い合わせ先のメールアドレス,採用に関する連絡先メールアドレス,掲載中の求人サイト名,お問い合わせフォームのURL,公式facebookのURL,公式X(旧:Twitter)のURL,公式InstagramのURL,公式YouTubeのURL
2024/09/15/00:10,日昭 株式会社,042-656-2400,支店,金属製品製造業、建設業、住宅設備・リフォーム業,24,24,5,BtoB、BtoC,日昭株式会社は、アルミ総合建材及び住宅関連機器の製造販売を行い、住宅総合リフォームも手掛けています。特に雪国の住宅に適した製品を提供し、地域密着型のサービスを展開しています。キーワード: アルミ建材、住宅リフォーム、地域密着,本社を札幌に移転し、全国的な支店拡大と南アジアへの進出を計画。設備投資と社員福利厚生の充実を図り、5年以内に100億円企業を目指す。,TOTO株式会社/アルインコ株式会社/三谷商事株式会社/鈴与商事株式会社/タカラベルモント株式会社/クレトイシ株式会社,アルミサッシ、網戸、カーポート、台風用雨戸【マドガード】,9.0132E+12,007-0827,北海道札幌市東区東雁来7条3丁目1番3号,https://www.nissho-grp.co.jp/,未上場,"9,600万円",1970/4/1,代表取締役,渡辺 征昭,"5,295,000千円",,,渡辺 征昭/大下 幹/安田 欣哉/渡邊 逸人/仲 猛夫,011-790-1755,,,マイナビ転職/求人ボックス/Indeed,https://www.nissho-grp.co.jp/estimate,https://m.facebook.com/nissho.shikoku/,日昭リンク,https://www.instagram.com/nissholink/,https://www.youtube.com/channel/UCZGU49U-HRbpMg-dyVuIloA
2024/09/15/00:11,株式会社 Lateral Kids,022-797-7717,,保育サービス業、子育て支援事業、人材育成事業,50,,,BtoC,株式会社Lateral Kidsは、宮城県仙台市に本社を置き、保育サービス業を中心に子育て支援や人材育成事業を展開しています。特に「もりのなかま保育園」を運営し、子どもたちの個性を尊重し、健やかな成長を促す保育を提供しています。キーワード: 保育サービス、子育て支援、人材育成、地域密着、障害児支援。,地域社会のニーズに応じたサービスを展開し、働く女性を支援する環境作りを推進。,株式会社トムズ/STAR.C株式会社/社会福祉法人/企業内保育所,もりのなかま保育園,,,宮城県仙台市青葉区一番町二丁目5-22 GC青葉通りプラザ2階,,非上場,"5,000万円",2013/7/1,代表取締役,,,,,,022-797-7718,,,,,,,,
2024/09/15/00:11,有限会社マルカコーポレーション,03-6260-7191,,産業廃棄物収集運搬業、解体工事業、金属リサイクル業,,,,BtoB,有限会社マルカコーポレーションは、解体工事を主軸に、産業廃棄物の収集運搬、金属リサイクル、一般貨物運送事業を展開しています。環境に配慮した事業運営を心がけ、循環型社会の構築に貢献しています。地域密着型のサービス提供を特徴とし、顧客ニーズに柔軟に対応しています。キーワード：解体工事、産業廃棄物、リサイクル、環境配慮、地域密着,次世代のための自然環境に優しい企業作りを目指し、持続可能な社会への貢献を重視しています。最新技術の導入や効率的な運営方法の採用によるコスト削減とサービス品質向上、社員のスキルアップや資格取得支援制度の整備による人材育成に注力しています,佐藤技建株式会社/株式会社泉田産業/株式会社白高商事,解体工事サービス、産業廃棄物収集運搬サービス、金属リサイクルサービス、一般貨物運送サービス,3.3701E+12,989-0841,宮城県刈田郡蔵王町大字小村崎字大久保80番地2,,非上場,,2003/6/6,代表取締役,鹿島 宗和,,,,,0224-22-7107,info@marukacorp.co.jp,,,,,,,
2024/09/15/00:12,株式会社 介護NEXT,0120-18-4541,本社,老人福祉・介護事業,300,300,0,"BtoC, BtoB",株式会社介護NEXTは、「寝たきりにさせない」をテーマに、歩行改善と認知機能改善を重視した介護施設を全国展開しています。主なサービスには、デイサービス「GENKI NEXT」、訪問鍼灸マッサージ「GENKI SUN」、サービス付き高齢者住宅「げんきスマイル」などがあります。,訪問医療マッサージの導入と拡大、デイサービスの生き残り戦略、地域密着型サービスの展開、認知機能改善と歩行改善、新業態モデルの導入,エイプレイス/ALSOK介護株式会社/株式会社リプライム,"GENKI NEXT, 健康サポートげんき, ゲンキスマイル, グッドライフ, 健康サポートげんき プレミアムケア, メディナス訪問看護ステーション, GENKI SUN",2.07E+12,372-0812,群馬県伊勢崎市上泉町157番地1,http://www.genki-next.com/,非上場,"5,000万円",2009/4/1,代表取締役社長,大場 隆幸,,,925千円（予測）,大平 雄伸/大場 隆幸/草間 輝之,0270-61-8961,,,ジョブメドレー/リクナビNEXT/jbplt.jp/介護NEXT公式採用サイト/カイゴジョブ,https://kaigo-next.com/sp/contact/,,公式X,,
2024/09/15/00:12,株式会社TSビルシステム,048-421-5925,本社,総合ビル管理業,10,0,0,BtoB,建築物環境衛生総合管理、施設警備、駐車場管理、受付サービス、設備運転保守、飲料水管理、害虫駆除、公園管理、マンション管理、エレベーター保守、自動ドア保守、プール運営。キーワード: ビル管理、衛生管理、警備、設備保守。,高品質なビル管理サービスの提供、SDGsへの取り組み、地域社会との連携、多様な人材の活用。,NJSS、nSearchで確認可能,建築物環境衛生総合管理、施設警備、駐車場管理、受付サービス、設備運転保守、飲料水管理、害虫駆除、公園管理、マンション管理、エレベーター保守、自動ドア保守、プール運営。,6.03E+12,335-0034,埼玉県戸田市笹目6-12-1,http://ts-builsystem.jp/,未上場,"1,000万円",2003/2/7,代表取締役,本田 友彦,,,,,048-421-5507,info@ts-builsystem.jp,,kyujinbu.com / Indeed / はたらいく / とらばーゆ,http://ts-builsystem.jp/contact/,,,,
2024/09/15/00:13,ALSOK介護株式会社,0120-294-331,本社,介護サービス業,296,141,,BtoC,ALSOK介護株式会社は、高齢者向けの多様な介護サービスを提供しています。訪問介護、デイサービス、介護付有料老人ホームなどを展開し、地域社会に貢献しています。キーワード: 介護、訪問介護、デイサービス、老人ホーム。,高品質なサービスの提供と人材育成、デジタル化の推進、地域包括ケアの強化を通じて、地域社会に貢献することを目指しています。,SOMPOケア/株式会社木下の介護,訪問介護サービス、デイサービス、介護付有料老人ホーム,3.03E+12,330-0856,埼玉県さいたま市大宮区三橋2丁目795番地,https://kaigo.alsok.co.jp/,非上場,1億円,1998/1/1,代表取締役社長,熊谷 敬,"219,588,250",,,熊谷 敬/栢木 伊久二/百武 尚樹/鈴木 基久,048-631-2110,,shinsotsu_saiyou@kaigo.alsok.co.jp,ALSOK介護株式会社採用サイト/doda/リクルートエージェント/はたらいく,,https://www.facebook.com/p/Alsok%E4%BB%8B%E8%AD%B7%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE-100089018348204/,,,https://www.youtube.com/channel/UCXJoISZhAwjHZjALqcb3jfw
2024/09/15/00:14,株式会社 アイダ設計,050-3115-3636,本社,不動産業および建設業,91,91,1,BtoC,株式会社アイダ設計は、住宅・不動産業を中心に、分譲住宅の企画・販売、注文住宅の商品企画・建築請負、賃貸建物の建築請負、住宅用地の仕入れ、インテリア商品の販売、入居後のアフターメンテナンスなどを行っています。また、建設業や建築設計、土地造成、製材業も手掛けています。キーワード: 住宅、不動産、建築請負、アフターメンテナンス。,コミュニケーション最適化、広告コスト削減、SDGsへの取り組み、働き方改革。,積水ハウス/新昭和/タマホーム/ユニバーサルホーム/アエラホーム,ブラーボシリーズ、999万円の家、ブラーボミニマル プラス,9.03E+12,330-0854,埼玉県さいたま市大宮区桜木町2丁目286番地,https://www.aidagroup.co.jp/,TOKYO PRO Market,"2億1,632万円",1981/1/6,代表取締役社長,會田 貞光,"578,900,000","303,000","806,000",會田 貞光/會田 大輔/阿部 真寿美/時田 清一郎/川村 達郎/岩井 克己/川村 益之/東目 拓也/堀越 佳孝/佐藤 紀彦/森中 剛,048-650-0090,personal-info@aidagroup.co.jp,jinji@aidagroup.co.jp,リクナビNEXT/エンゲージ/マイナビ転職/jbplt.jp/HRMOS,https://secure.aidagroup.co.jp/chuumon/coming.php?naiyou=%97%88%93X%97%5C%96%F1%81i%83u%83%89%81%5B%83%7B%83t%83%40%83%7E%83%8A%81j,,,,
2024/09/15/00:15,共立建設 株式会社,048-778-9825,支店,建設業,18,0,0,BtoB,共立建設株式会社は、建築・土木工事の請負、修繕、保守、設計、施工監理を行い、不動産の斡旋、売買、賃貸管理も手掛けています。NTT関連施設やオフィス、マンションなど多様な案件に対応しています。キーワード: 建築、土木、NTT、施工管理、不動産,多様な建設業務への対応、NTT関連企業としての強み、技術革新とICTの活用,鹿島建設/大成建設,建築工事、土木工事、NTT通信関連施設の施工,4.03E+12,150-0043,東京都渋谷区道玄坂一丁目16番10号 渋谷DTビル,https://www.kyoritsu-con.co.jp/,非上場,10億円,1956/8/10,代表取締役社長,佐藤 啓孝,"49,355,000","17,780,000","16,790,000",武内 一夫/竹内 範明/齋藤 仁/高松 仁/雪丸 美雄/鎌田 典余/山下 恭文/岡田 昌輝/香月 重人,048-284-1235,info@kyouritsu-k.com,info@jobs-c.com,求人ボックス/リクルートエージェント/doda/Indeed/マイナビ転職,https://www.kyoritsu-con.co.jp/contactus/,https://www.facebook.com/kyouritsu.k/?locale=hr_HR,,https://www.instagram.com/kyoritsu_kensetsu_1987/,https://www.youtube.com/channel/UCuoey44tANQn4PZExVdyHdg
2024/09/15/00:18,株式会社 アミス,049-234-8098,本社,サービス業（高齢者施設の給食受託サービス）,2,,,BtoB,株式会社アミスは、医療・福祉関連施設向けに食事提供サービスを展開しています。給食受託業務、機能性食品の開発・製造、食材販売、食堂経営コンサルティングなどを行い、高齢者向けの栄養バランスを考慮した献立作成や食材調達を一元管理し、安全で美味しい食事を提供しています。キーワード: 給食受託、食材販売、栄養管理、安全性,給食受託事業の拡大、ミールキットの製造と販売、効率性の向上、成長戦略との整合性,株式会社ニフス/日清医療食品株式会社/シダックス株式会社/富士産業株式会社,食事提供サービス、調理済みおかずセット、衛生管理,3.03E+12,350-1175,埼玉県川越市笠幡4527-1,http://www.k-amis.com/,非上場,"1,000万円",2004/2/16,代表取締役,松原 茜,,,,松原 茜/植田 剛史/澁谷 亜耶/米村 昌晃,049-234-8099,,,Indeed/amis2021.com/ジョブメドレー/ハローワーク,https://amis-recruit.com/contact/,,,https://www.instagram.com/amis_2021_816/,
2024/09/15/00:18,AGSプロサービス株式会社,03-5704-8525,本社,情報サービス業,,,0,BtoB,AGSプロサービス株式会社は、コンピュータシステムの運営管理、人材派遣、BPO事業を展開し、企業の業務効率化を支援しています。キーワード: ITソリューション、人材派遣、BPO,DXビジネスの推進、組織改革、人材育成を通じて、顧客のデジタル化支援を強化しています。,株式会社ラクス/株式会社NTTデータグループ/株式会社リクルートホールディングス,コンピュータシステムの運営管理、人材派遣、BPO事業,3.03E+12,330-0075,埼玉県さいたま市浦和区針ヶ谷4-2-11,https://www.ags-ps.co.jp/,未上場,3億円,2004/1/1,代表取締役社長,小金井 忠夫,,,"1,272,000千円",小金井 忠夫/山形 真生/藤倉 広幸/梅澤 英雄/菊岡 俊哉,048-825-6008,,,Indeed/えんと～り/はたらいく/エン転職,,,,,
